uid,status,symbol_id,side,entry_time,entry_size,entry_price,entry_price_scaled,entry_size_scaled, exit_time,exit_size,exit_price,exit_size_scaled,exit_price_scaled
35,2,0,2,2047,807,1811.000000,18110580,807,2067,807,1793.000000,807,17934180
41,2,0,1,2067,807,1793.000000,17934180,807,2085,807,1753.000000,807,17537780
170,2,0,2,2085,807,1753.000000,17537780,807,2108,807,1791.000000,807,17916380
61,2,0,1,2108,807,1791.000000,17916380,807,2148,807,1786.000000,807,17866850
96,2,0,2,2148,807,1786.000000,17866850,807,2167,807,1790.000000,807,17904550
188,2,0,1,2167,807,1790.000000,17904550,807,2204,807,1805.000000,807,18056080
209,2,0,2,2204,807,1805.000000,18056080,807,2213,807,1870.000000,807,18709480
27,2,0,1,2213,807,1870.000000,18709480,807,2246,807,1959.000000,807,19591550
164,2,0,2,2246,807,1959.000000,19591550,807,2262,807,1965.000000,807,19657580
90,2,0,1,2262,807,1965.000000,19657580,807,2275,807,1895.000000,807,18954280
133,2,0,2,2275,807,1895.000000,18954280,807,2304,807,1845.000000,807,18458640
20,2,0,1,2304,807,1845.000000,18458640,807,2317,807,1850.000000,807,18506340
205,2,0,2,2317,807,1850.000000,18506340,807,2357,807,1756.000000,807,17566480
4,2,0,1,2357,807,1756.000000,17566480,807,2376,807,1750.000000,807,17509080
182,2,0,2,2376,807,1750.000000,17509080,807,2416,807,1669.000000,807,16699980
127,2,0,1,2416,807,1669.000000,16699980,807,2424,807,1627.000000,807,16270180
254,2,0,2,2424,807,1627.000000,16270180,807,2441,807,1711.000000,807,17113670
23,2,0,1,2441,807,1711.000000,17113670,807,2518,807,1874.000000,807,18748550
59,2,0,2,2518,807,1874.000000,18748550,807,2545,807,1877.000000,807,18776750
248,2,0,1,2545,807,1877.000000,18776750,807,2585,807,1989.000000,807,19895480
229,2,0,2,2585,807,1989.000000,19895480,807,2592,807,2015.000000,807,20159750
250,2,0,1,2592,807,2015.000000,20159750,807,2604,807,1980.000000,807,19806950
45,2,0,2,2604,807,1980.000000,19806950,807,2651,807,1954.000000,807,19547480
31,2,0,1,2651,807,1954.000000,19547480,807,2670,807,1943.000000,807,19437850
31,2,0,2,2670,807,1943.000000,19437850,807,2675,807,1913.000000,807,19133780
