index,equity
574,1040802.81
575,1035315.21
576,1027965.05
577,1030280.33
578,1017854.15
579,989762.48
580,992721.67
581,987857.96
582,990566.25
583,990372.57
584,980681.31
585,974493.96
586,973807.28
587,981764.30
588,979147.20
589,960376.38
590,957546.23
591,955703.85
592,958078.85
593,964446.89
594,959734.01
595,946479.84
596,947297.33
597,949743.35
598,952807.53
599,944672.16
600,944029.71
601,948507.83
602,945054.68
603,935657.97
604,935265.77
605,938919.06
606,935359.38
607,922666.08
608,910740.23
609,915412.76
610,916952.52
611,919237.86
612,913909.32
613,913032.11
614,911281.73
615,914476.64
616,914976.98
617,919731.02
618,922238.37
619,936699.00
620,928696.71
621,928736.33
622,934181.97
623,941210.13
624,953278.01
625,946326.43
626,947684.61
627,954671.70
628,957576.90
629,963518.84
630,965810.72
631,966106.00
632,971513.79
633,971306.39
634,980982.32
635,971241.02
636,971667.12
637,976549.47
638,981223.61
639,982811.79
640,976139.51
641,969560.04
642,959295.00
643,960796.02
644,964034.51
645,966026.19
646,978148.86
647,976581.67
648,980575.59
649,984562.17
650,985611.27
651,995653.58
652,994593.99
653,1000890.20
654,990157.10
655,995311.41
656,993148.65
657,989899.67
658,991712.19
659,995379.20
660,999825.77
661,996013.50
662,997982.50
663,998662.88
664,996879.41
665,998453.06
666,1008556.70
667,1014332.40
668,1013842.55
669,1011830.70
670,1005875.04
671,1006845.86
672,997249.02
673,996239.46
674,998458.71
675,989751.18
676,981789.32
677,975548.79
678,968591.64
679,971935.85
680,973587.78
681,970560.72
682,969068.58
683,985258.61
684,990019.91
685,991817.10
686,994022.63
687,996705.91
688,1005902.48
689,1005937.18
690,1005552.24
691,1003067.49
692,1011467.55
693,1011557.13
694,1009258.79
695,1011228.68
696,1004021.36
697,1007819.91
698,1007715.00
699,1013593.19
700,1013632.73
701,1015785.00
702,1010380.52
703,1012178.52
704,1013205.83
705,1013915.18
706,1030189.95
707,1039155.72
708,1038518.19
709,1045130.75
710,1035753.41
711,1040739.86
